,customer_id,first_name,last_name,email,city,state
0,C01991,Sonia,Matthews,craigbarajas@williamson.com,Sylviafort,MS
1,C01992,Andrew,Turner,pcross@hotmail.com,New Anthonybury,MT
2,C01993,Daniel,Flynn,careyjohn@ortiz.com,Port Larrymouth,TN
3,C01994,Nicole,Griffin,barkertaylor@hampton.info,North Ericshire,NJ
4,C01995,Vincent,Long,millerjodi@hotmail.com,Wolffort,FL
5,C01996,David,Warren,alan72@salas.com,Villarrealtown,WV
6,C01997,Amber,Lawson,raydana@sanders.com,New Gabriel,NM
7,C01998,Ivan,Jenkins,beckyjones@hotmail.com,Davidland,NH
8,C01999,Kathleen,Hodges,brandondiaz@mcdowell.biz,Stephaniechester,TX
9,C02000,Julie,Smith,mcdowellkatie@yahoo.com,West Dianechester,DE
