"order_id","quantity","order_date","year_of_order","customer_id","name","email","gender","birthdate","category","year_of_birthdate","age_customer","group age","product_id","product_name","category (Right)","price","cost","margin_price_cost","payment_method","payment_status","payment_date","payment_method (#1)","shipping_date","shipping_fee","shipping_status","rating","comment","rating_language","revenue","profit","product profit"
"ORD10000",4,"2025-04-22",2025,"CUST1272","Jonathan Lawrence","dyork@yahoo.com","Male","1972-09-13","Regular",1972,53,"Group 30 - 60","PROD1022","Home","Electronics",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2025-04-25","Bank","2025-04-22",6.83,"Pending",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10001",5,"2023-01-29",2023,"CUST1230","Jessica Stephens","david09@yahoo.com","Other","1963-12-10","New",1963,62,"Group 60","PROD1002","Feel","Groceries",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2023-02-01","Card","2023-01-30",2.98,"Cancelled",0,"No Comment","No Rating",496.59999999999997,164.3,32.86
"ORD10002",4,"2024-12-06",2024,"CUST1085","Daniel Baker","vclark@krueger-smith.com","Female","2001-03-07","New",2001,24,"Group 18 - 30","PROD1003","Popular","Groceries",99.32,66.46,0.3308497784937576,"E-wallet","Paid","2024-12-08","Card","2024-12-11",7.86,"Shipped",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10003",1,"2023-01-16",2023,"CUST1473","Evelyn Williams","jennifer40@yahoo.com","Male","1954-12-28","New",1954,71,"Group 60","PROD1024","Hundred","Groceries",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2023-01-19","Bank","2023-01-17",16.29,"Delayed",0,"No Comment","No Rating",99.32,32.86,32.86
"ORD10004",1,"2024-02-27",2024,"CUST1125","Erin Edwards","yramirez@yahoo.com","Male","1980-03-03","Loyal",1980,45,"Group 30 - 60","PROD1046","Population","Clothing",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2024-02-28","Card","2024-02-28",17.03,"Shipped",0,"No Comment","No Rating",99.32,32.86,32.86
"ORD10005",5,"2024-08-11",2024,"CUST1299","Amber Obrien","heathermccoy@fisher-garcia.net","Female","1967-09-11","VIP",1967,58,"Group 30 - 60","PROD1037","Trade","Books",99.32,66.46,0.3308497784937576,"Cash","Paid","2024-08-14","Cash","2024-08-12",2.25,"Delayed",0,"No Comment","No Rating",496.59999999999997,164.3,32.86
"ORD10006",4,"2025-03-15",2025,"CUST1024","Matthew Foster","pwagner@aguilar.com","Male","1993-06-06","Regular",1993,32,"Group 30 - 60","PROD1014","Particular","Books",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2025-03-15","Card","2025-03-18",3.1,"Shipped",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10007",4,"2024-08-15",2024,"CUST1144","Amber Wright","michael79@cervantes.com","Male","1999-06-25","New",1999,26,"Group 18 - 30","PROD1020","Firm","Books",99.32,66.46,0.3308497784937576,"Cash","Pending","2024-08-15","Cash","2024-08-15",5.45,"Delayed",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10008",2,"2024-02-09",2024,"CUST1012","Lisa Hensley","meghan43@hotmail.com","Male","1993-09-09","New",1993,32,"Group 30 - 60","PROD1034","Center","Beauty",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2024-02-10","Card","2024-02-13",7.35,"Cancelled",4,"Production industry until method program their media skill no task.","Good",198.64,65.72,32.86
"ORD10009",3,"2024-09-27",2024,"CUST1211","Denise Mccann","samantha10@gonzalez.info","Male","1970-01-07","Regular",1970,55,"Group 30 - 60","PROD1045","Determine","Books",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2024-09-30","Card","2024-09-27",11.85,"Pending",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10010",5,"2024-06-14",2024,"CUST1024","Matthew Foster","pwagner@aguilar.com","Male","1993-06-06","Regular",1993,32,"Group 30 - 60","PROD1013","So","Books",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2024-06-14","Card","2024-06-19",1.9,"Cancelled",0,"No Comment","No Rating",496.59999999999997,164.3,32.86
"ORD10011",3,"2024-09-05",2024,"CUST1067","Carol Tucker","mitchellhector@gmail.com","Female","1967-07-04","VIP",1967,58,"Group 30 - 60","PROD1035","Campaign","Books",99.32,66.46,0.3308497784937576,"Cash","Paid","2024-09-09","Cash","2024-09-10",15.44,"Pending",1,"Able position contain ok game.","Very Bad",297.96,98.57999999999998,32.86
"ORD10012",3,"2025-06-22",2025,"CUST1393","Robert Montgomery","nancy86@gmail.com","Male","1985-06-01","New",1985,40,"Group 30 - 60","PROD1011","Cost","Electronics",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2025-06-25","Card","2025-06-25",14.01,"Pending",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10013",5,"2023-03-18",2023,"CUST1066","Tracy House","williamsmelvin@weaver.com","Female","1978-03-31","Loyal",1978,47,"Group 30 - 60","PROD1016","Word","Books",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2023-03-19","Bank","2023-03-24",13.9,"Delayed",4,"Onto throughout song response.","Good",496.59999999999997,164.3,32.86
"ORD10014",4,"2023-08-17",2023,"CUST1232","Christopher Parker","youngtoni@gmail.com","Other","2001-05-25","VIP",2001,24,"Group 18 - 30","PROD1038","Face","Clothing",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2023-08-20","Bank","2023-08-22",9.04,"Cancelled",4,"Image ten population feeling later major success relationship fish.","Good",397.28,131.44,32.86
"ORD10015",5,"2023-10-24",2023,"CUST1108","Evelyn Galvan","davisjesse@gmail.com","Male","2004-11-25","New",2004,21,"Group 18 - 30","PROD1008","Page","Groceries",99.32,66.46,0.3308497784937576,"Bank Transfer","Pending","2023-10-26","Bank","2023-10-25",3.48,"Shipped",1,"Piece war address sometimes back lay.","Very Bad",496.59999999999997,164.3,32.86
"ORD10016",3,"2024-05-24",2024,"CUST1145","Joyce Solis","lawrenceallen@white.com","Other","1973-01-02","VIP",1973,52,"Group 30 - 60","PROD1034","Center","Beauty",99.32,66.46,0.3308497784937576,"Cash","Paid","2024-05-26","Cash","2024-05-29",10.29,"Shipped",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10017",4,"2024-12-15",2024,"CUST1110","Richard Rodriguez","whenry@hotmail.com","Other","1968-12-17","VIP",1968,57,"Group 30 - 60","PROD1012","Lose","Beauty",99.32,66.46,0.3308497784937576,"Cash","Failed","2024-12-15","Cash","2024-12-21",14.5,"Cancelled",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10018",1,"2024-07-26",2024,"CUST1227","Michael Warner","janet69@rogers.com","Other","1991-05-20","VIP",1991,34,"Group 30 - 60","PROD1014","Particular","Books",99.32,66.46,0.3308497784937576,"Bank Transfer","Pending","2024-07-28","Bank","2024-07-29",14.59,"Cancelled",0,"No Comment","No Rating",99.32,32.86,32.86
"ORD10019",5,"2024-06-21",2024,"CUST1110","Richard Rodriguez","whenry@hotmail.com","Other","1968-12-17","VIP",1968,57,"Group 30 - 60","PROD1017","Also","Groceries",99.32,66.46,0.3308497784937576,"Bank Transfer","Pending","2024-06-22","Bank","2024-06-24",10.33,"Cancelled",0,"No Comment","No Rating",496.59999999999997,164.3,32.86
"ORD10020",5,"2024-08-05",2024,"CUST1469","Jeanette Harrison","nathandavis@gmail.com","Other","1984-08-11","VIP",1984,41,"Group 30 - 60","PROD1032","Final","Beauty",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2024-08-05","Bank","2024-08-10",14.98,"Delayed",5,"Nearly member happen everybody action.","Perfect",496.59999999999997,164.3,32.86
"ORD10021",4,"2024-09-06",2024,"CUST1033","Nathan Maldonado","terickson@yahoo.com","Female","1984-02-10","Regular",1984,41,"Group 30 - 60","PROD1005","Role","Beauty",99.32,66.46,0.3308497784937576,"E-wallet","Paid","2024-09-07","Card","2024-09-07",17.43,"Pending",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10022",1,"2023-11-22",2023,"CUST1110","Richard Rodriguez","whenry@hotmail.com","Other","1968-12-17","VIP",1968,57,"Group 30 - 60","PROD1026","Author","Books",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2023-11-23","Bank","2023-11-24",10.5,"Cancelled",3,"Play wish dinner if public different look sign nothing.","Average",99.32,32.86,32.86
"ORD10023",1,"2023-12-29",2023,"CUST1263","Diane Evans","htaylor@hotmail.com","Other","1964-11-18","VIP",1964,61,"Group 60","PROD1022","Home","Electronics",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2023-12-31","Card","2024-01-01",13.47,"Pending",0,"No Comment","No Rating",99.32,32.86,32.86
"ORD10024",4,"2024-10-30",2024,"CUST1423","Mary Escobar","karenanderson@hotmail.com","Male","1991-12-29","Loyal",1991,34,"Group 30 - 60","PROD1026","Author","Books",99.32,66.46,0.3308497784937576,"E-wallet","Paid","2024-11-01","Card","2024-10-30",16.01,"Shipped",1,"Should character significant people third.","Very Bad",397.28,131.44,32.86
"ORD10025",2,"2025-05-24",2025,"CUST1368","Renee Bruce","xgriffin@yahoo.com","Female","1974-07-30","Regular",1974,51,"Group 30 - 60","PROD1033","Market","Books",99.32,66.46,0.3308497784937576,"E-wallet","Paid","2025-05-25","Card","2025-05-28",11.13,"Pending",4,"See or fill magazine lot animal age can either.","Good",198.64,65.72,32.86
"ORD10026",5,"2023-12-25",2023,"CUST1235","Kathryn Snyder","amy17@hotmail.com","Female","1963-09-30","VIP",1963,62,"Group 60","PROD1045","Determine","Books",99.32,66.46,0.3308497784937576,"Cash","Paid","2023-12-27","Cash","2023-12-29",12.68,"Pending",3,"Agent growth major describe sure century.","Average",496.59999999999997,164.3,32.86
"ORD10027",5,"2024-12-06",2024,"CUST1082","Michael Evans","igrant@yahoo.com","Female","1957-08-06","Regular",1957,68,"Group 60","PROD1037","Trade","Books",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2024-12-08","Card","2024-12-12",1.79,"Cancelled",0,"No Comment","No Rating",496.59999999999997,164.3,32.86
"ORD10028",3,"2025-02-25",2025,"CUST1041","Fred Smith","joshuaevans@wise-bush.info","Other","1968-01-10","VIP",1968,57,"Group 30 - 60","PROD1013","So","Books",99.32,66.46,0.3308497784937576,"Cash","Paid","2025-02-27","Cash","2025-02-27",5.27,"Delayed",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10029",4,"2023-11-20",2023,"CUST1424","Felicia Aguilar","cayers@hotmail.com","Male","1980-06-11","Regular",1980,45,"Group 30 - 60","PROD1035","Campaign","Books",99.32,66.46,0.3308497784937576,"Cash","Paid","2023-11-23","Cash","2023-11-26",7.86,"Delayed",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10030",3,"2024-11-28",2024,"CUST1100","Sandra Aguilar","laura15@yahoo.com","Other","2001-10-03","Regular",2001,24,"Group 18 - 30","PROD1007","Physical","Groceries",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2024-11-29","Card","2024-12-03",7.06,"Cancelled",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10031",3,"2023-11-22",2023,"CUST1005","Connie Lawrence","jenniferho@hotmail.com","Male","1957-12-24","VIP",1957,68,"Group 60","PROD1034","Center","Beauty",99.32,66.46,0.3308497784937576,"Cash","Paid","2023-11-26","Cash","2023-11-23",18.66,"Shipped",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10032",1,"2024-09-16",2024,"CUST1179","Robert Oconnell","matthewsalexander@williams.biz","Male","1965-03-24","Loyal",1965,60,"Group 30 - 60","PROD1018","Better","Clothing",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2024-09-17","Card","2024-09-21",13.26,"Cancelled",0,"No Comment","No Rating",99.32,32.86,32.86
"ORD10033",5,"2025-04-04",2025,"CUST1281","Tammie Bright","destiny35@garner.biz","Other","1956-04-26","New",1956,69,"Group 60","PROD1029","Threat","Electronics",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2025-04-04","Card","2025-04-05",16.74,"Pending",0,"No Comment","No Rating",496.59999999999997,164.3,32.86
"ORD10034",3,"2023-06-14",2023,"CUST1319","Connie Brown","diamondbryant@yahoo.com","Female","1976-08-26","Loyal",1976,49,"Group 30 - 60","PROD1013","So","Books",99.32,66.46,0.3308497784937576,"Cash","Paid","2023-06-16","Cash","2023-06-18",6.33,"Shipped",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10035",1,"2024-07-26",2024,"CUST1225","Benjamin Smith","samantharichard@yahoo.com","Female","1963-12-22","VIP",1963,62,"Group 60","PROD1019","Special","Electronics",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2024-07-28","Bank","2024-08-01",10.47,"Cancelled",4,"Road reality benefit majority recent social less.","Good",99.32,32.86,32.86
"ORD10036",4,"2024-08-26",2024,"CUST1442","Robert Harrison","ebonyshepard@brady.com","Female","2006-11-06","VIP",2006,19,"Group 18 - 30","PROD1048","Boy","Electronics",99.32,66.46,0.3308497784937576,"Cash","Paid","2024-08-30","Cash","2024-08-26",15.8,"Shipped",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10037",3,"2025-03-08",2025,"CUST1439","Jason Rhodes","esweeney@gmail.com","Other","1975-07-04","Regular",1975,50,"Group 30 - 60","PROD1024","Hundred","Groceries",99.32,66.46,0.3308497784937576,"E-wallet","Paid","2025-03-08","Card","2025-03-10",5.71,"Shipped",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10038",5,"2024-03-30",2024,"CUST1314","Richard Smith","smithsarah@allison.com","Other","1966-08-05","VIP",1966,59,"Group 30 - 60","PROD1039","Girl","Clothing",99.32,66.46,0.3308497784937576,"Cash","Paid","2024-04-02","Cash","2024-03-31",7.61,"Cancelled",4,"Event lead represent benefit bar military candidate rock.","Good",496.59999999999997,164.3,32.86
"ORD10039",3,"2023-06-02",2023,"CUST1364","Tracy Burke","michael31@yahoo.com","Other","1973-12-31","VIP",1973,52,"Group 30 - 60","PROD1023","Water","Clothing",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2023-06-03","Card","2023-06-05",16.29,"Delayed",0,"No Comment","No Rating",297.96,98.57999999999998,32.86
"ORD10040",4,"2025-01-06",2025,"CUST1453","Cynthia Vang","kelleyjacob@kim.biz","Female","1971-10-08","VIP",1971,54,"Group 30 - 60","PROD1013","So","Books",99.32,66.46,0.3308497784937576,"E-wallet","Paid","2025-01-09","Card","2025-01-06",12.78,"Shipped",0,"No Comment","No Rating",397.28,131.44,32.86
"ORD10041",3,"2023-05-07",2023,"CUST1228","Michael Bradshaw","fconner@stewart.org","Other","2001-02-03","Regular",2001,24,"Group 18 - 30","PROD1025","Ten","Electronics",99.32,66.46,0.3308497784937576,"Credit Card","Paid","2023-05-07","Card","2023-05-11",15.58,"Delayed",3,"Write ok economy time middle.","Average",297.96,98.57999999999998,32.86
"ORD10042",5,"2023-07-12",2023,"CUST1376","Glen Wood","robinsontony@gmail.com","Male","1985-04-13","Regular",1985,40,"Group 30 - 60","PROD1037","Trade","Books",99.32,66.46,0.3308497784937576,"Bank Transfer","Paid","2023-07-16","Bank","2023-07-16",5.53,"Cancelled",1,"Entire account nation building teacher only or write around.","Very Bad",496.59999999999997,164.3,32.86
