customer_id,name,email,gender,birthdate
CUST1000,Allison Hill,fbrewer@mcguire-davis.com,,1962-03-16
CUST1001,Noah Rhodes,kevinperkins@yahoo.com,Male,1977-01-16
CUST1002,Angie Henderson,jbarajas@yahoo.com,Male,1965-08-06
CUST1003,Daniel Wagner,qnelson@gmail.com,,2004-04-17
CUST1004,Cristian Santos,leslienewton@lopez.org,Female,1985-10-08
CUST1005,Connie Lawrence,wallkenneth@yahoo.com,Male,1998-08-28
CUST1006,Abigail Shaffer,alexis82@williams-brown.com,Male,1972-01-18
CUST1007,Gina Moore,agarcia@mitchell.com,Male,2003-06-10
CUST1008,Gabrielle Davis,ewilson@yahoo.com,,1967-03-19
CUST1009,Ryan Munoz,rayglenda@gmail.com,Male,1955-07-02
CUST1010,Monica Herrera,christopher31@duran.com,,2004-08-31
CUST1011,Jamie Arnold,tkerr@hotmail.com,,1977-06-24
CUST1012,Lisa Hensley,ashley09@hotmail.com,,1974-08-13
CUST1013,Michele Williams,colleenbaker@moore.net,Male,1993-03-06
CUST1014,Dylan Miller,aaronhayes@harrison.com,,2000-06-07
CUST1015,Brian Ramirez,mcdanielsandra@hotmail.com,Female,2006-01-27
CUST1016,Holly Wood,owilson@hernandez.com,Male,1967-09-08
CUST1017,Derek Zuniga,brooke94@martinez-barker.biz,Male,1966-06-25
CUST1018,Lisa Jackson,mkim@gmail.com,Male,1996-02-12
CUST1019,Carla Gray,cassandra01@gmail.com,Male,1998-01-02
CUST1020,Margaret Hawkins DDS,barbara27@pearson.org,Male,1982-02-18
CUST1021,Patty Perez,ecosta@yahoo.com,,1983-08-24
CUST1022,Ethan Adams,manuel12@yahoo.com,,1989-08-09
CUST1023,Tommy Walter,zroberts@hotmail.com,Male,1976-11-08
CUST1024,Matthew Foster,qmiller@wilson-barton.net,,1960-06-10
CUST1025,Judy Baker,mgutierrez@cox.com,Male,1981-10-25
CUST1026,Justin Baker,andrea47@washington.com,,2000-01-31
CUST1027,Stephanie Ross,andrea86@walker.info,,1961-01-11
CUST1028,Zachary Hicks,tyronemoran@thornton.info,,1967-02-11
CUST1029,Anthony Rodriguez,yarnold@weeks.com,,1964-02-09
CUST1030,Rebecca Henderson,kendra65@adams.org,Female,1987-01-12
CUST1031,James Ferrell,seanwashington@yahoo.com,Male,1976-07-24
CUST1032,Tricia Valencia,mcantu@hotmail.com,Female,1971-06-03
