"order_id","customer_id","product_id","order_date","quantity","amount_cleaned","name","email","gender","birthdate","payment_id","payment_method","payment_status","payment_date","product_name","category","price_formatted","shipping_id","shipping_method","shipping_date","shipping_status","status"
"ORD10000","CUST1048","PROD1018","2024-11-17",2,"$484.51","Joshua Blair","andrew64@gmail.com","Female","1979-01-03","PAY10077","Credit Card","Failed","2025-04-23","Likely","Groceries","$41.69","SHP10034","Pickup","2025-07-16","Pending","Waiting"
"ORD10001","CUST1191","PROD1020","2024-10-16",1,"$29.82","Karen Graham","kellyroberts@hotmail.com","Male","1980-05-07","N/A","N/A","N/A","N/A","Remember","Books","$165.52","N/A","N/A",,"N/A","N/A"
"ORD10002","CUST1128","PROD1033","2024-11-10",2,"$33.16","Cameron Fisher","marydunn@hotmail.com","N/A","1992-07-25","N/A","N/A","N/A","N/A","Treat","Groceries","$228.53","SHP10068","Pickup","2025-07-16","Delivered","Success"
"ORD10003","CUST1047","PROD1004","2025-06-21",5,"$38.64 ","Shane Henderson","gcastaneda@james.org","Male","1999-01-09","N/A","N/A","N/A","N/A","Recent","Electronics","$80.47","N/A","N/A",,"N/A","N/A"
"ORD10004","CUST1103","PROD1007","2024-09-09",5,"$126.88","Christine Wright","dhayes@yahoo.com","Male","1968-04-18","N/A","N/A","N/A","N/A","Space","Groceries","$37.35","SHP10116","Express","2025-07-16","Delivered","Success"
"ORD10005","CUST1158","PROD1005","2025-03-29",4,"$330.4","Melissa Gates","fernandodonovan@gmail.com","Male","2004-03-02","N/A","N/A","N/A","N/A","Kind","Beauty","$147.16","SHP10297","Standard","2025-07-16","Delivered","Success"
"ORD10006","CUST1066","PROD1013","2025-02-03",3,"$123.15","Tracy House","lisahall@kramer.com","N/A","1974-08-14","PAY10242","Credit Card","Completed","2024-12-04","Design","Books","$199.5","SHP10441","Standard","2025-07-16","Delivered","Success"
"ORD10007","CUST1033","PROD1042","2024-10-09",3,"$231.33","Nathan Maldonado","xhall@williams-garner.biz","N/A","1955-01-02","N/A","N/A","N/A","N/A","Sign","Electronics","$278.69","SHP10391","Standard","2025-07-16","Delivered","Success"
"ORD10008","CUST1002","PROD1029","2024-12-23",5,"$499.23","Angie Henderson","jbarajas@yahoo.com","Male","1965-08-06","PAY10464","Cash","Pending","2024-10-26","East","Electronics","$199.12","N/A","N/A",,"N/A","N/A"
"ORD10009","CUST1018","PROD1034","2024-11-09",2,"$255.41 ","Lisa Jackson","mkim@gmail.com","Male","1996-02-12","N/A","N/A","N/A","N/A","Stand","Clothing","$78.55","SHP10350","Pickup","2025-07-16","Pending","Waiting"
"ORD10010","CUST1089","PROD1004","2024-10-30",2,"$187.92 ","Aimee Montoya","djoyce@harris.com","Male","2005-11-25","N/A","N/A","N/A","N/A","Recent","Electronics","$80.47","N/A","N/A",,"N/A","N/A"
"ORD10011","CUST1112","PROD1034","2024-08-08",3,"$307.78","Julia Torres","sabrinacollins@hale.com","Male","2000-10-31","PAY10308","Cash","Failed","2024-08-15","Stand","Clothing","$78.55","SHP10487","Standard","2025-07-16","Delivered","Success"
"ORD10012","CUST1170","PROD1035","2025-02-17",3,"$466.22","Jamie Walton","fkoch@gmail.com","Male","1963-08-04","N/A","N/A","N/A","N/A","Arrive","Groceries","$127.86","N/A","N/A",,"N/A","N/A"
"ORD10013","CUST1034","PROD1016","2025-03-02",1,"$445.41 ","Debra Davidson","tylerjohnson@hotmail.com","Female","1972-04-14","PAY10140","Credit Card","Completed","2024-11-16","Phone","Beauty","$221.18","SHP10199","Pickup","2025-07-16","In Transit","Shipping"
"ORD10014","CUST1069","PROD1018","2025-06-22",5,"$109.26","William Baker","martinezrobert@gmail.com","N/A","1969-07-27","PAY10420","Cash","Failed","2025-01-22","Likely","Groceries","$41.69","N/A","N/A",,"N/A","N/A"
"ORD10015","CUST1052","PROD1043","2025-04-27",3,"$255.18","Crystal Robinson","jamesbuchanan@yahoo.com","Male","1999-12-25","N/A","N/A","N/A","N/A","Parent","Books","$237.69","N/A","N/A",,"N/A","N/A"
"ORD10016","CUST1013","PROD1005","2025-07-05",4,"$415.53","Michele Williams","colleenbaker@moore.net","Male","1993-03-06","PAY10238","Bank Transfer","Completed","2024-08-28","Kind","Beauty","$147.16","N/A","N/A",,"N/A","N/A"
"ORD10017","CUST1000","PROD1021","2024-09-22",2,"$320.37","Allison Hill","fbrewer@mcguire-davis.com","N/A","1962-03-16","N/A","N/A","N/A","N/A","Score","Beauty","$50.65","SHP10436","Standard","2025-07-16","Delivered","Success"
"ORD10018","CUST1041","PROD1047","2025-03-16",4,"$278.08","Fred Smith","tjackson@williams.com","Male","1975-02-01","PAY10446","E-Wallet","Completed","2024-12-17","Spring","Books","$237.17","SHP10027","Express","2025-07-16","Pending","Waiting"
"ORD10019","CUST1143","PROD1000","2025-04-05",1,"$42.25 ","Christopher Rubio","jonesdana@yahoo.com","Male","1977-12-26","PAY10084","Cash","Pending","2024-09-21","Southern","Electronics","$166.38","N/A","N/A",,"N/A","N/A"
"ORD10020","CUST1139","PROD1002","2024-12-28",3,"$293.34 ","Angel Perry","tylerjimenez@hotmail.com","N/A","1993-11-23","N/A","N/A","N/A","N/A","Almost","Groceries","$265.89","N/A","N/A",,"N/A","N/A"
"ORD10021","CUST1110","PROD1008","2025-02-16",1,"$157.59","Richard Rodriguez","riveraangela@yahoo.com","Female","1984-08-10","PAY10040","Credit Card","Failed","2024-12-18","Would","Clothing","$201.1","N/A","N/A",,"N/A","N/A"
"ORD10022","CUST1091","PROD1013","2025-01-24",2,"$335.13","Brian Rodriguez","davidpatel@gmail.com","N/A","1960-02-10","PAY10247","E-Wallet","Pending","2025-03-30","Design","Books","$199.5","N/A","N/A",,"N/A","N/A"
"ORD10023","CUST1199","PROD1035","2024-08-03",4,"$487.05 ","Nathan Freeman","melissamcdonald@gmail.com","Male","2003-11-17","PAY10427","E-Wallet","Pending","2024-11-07","Arrive","Groceries","$127.86","N/A","N/A",,"N/A","N/A"
"ORD10024","CUST1060","PROD1010","2024-11-26",2,"$441.3","Victoria Garcia","qchavez@horton.com","Female","2002-06-02","PAY10394","Credit Card","Failed","2025-06-26","Visit","Beauty","$129.22","SHP10413","Standard","2025-07-16","Delivered","Success"
"ORD10025","CUST1045","PROD1047","2025-07-16",3,"$392.28","Philip Cannon","charleslandry@hotmail.com","Male","1955-04-27","N/A","N/A","N/A","N/A","Spring","Books","$237.17","SHP10202","Standard","2025-07-16","Delivered","Success"
"ORD10026","CUST1171","PROD1047","2025-03-22",2,"$137.07","Darlene Miller","pwagner@aguilar.com","Female","1999-01-05","N/A","N/A","N/A","N/A","Spring","Books","$237.17","N/A","N/A",,"N/A","N/A"
"ORD10027","CUST1097","PROD1002","2025-04-02",4,"$115.1","Deborah Figueroa","kimberly18@wilson.com","Female","1959-11-09","N/A","N/A","N/A","N/A","Almost","Groceries","$265.89","N/A","N/A",,"N/A","N/A"
"ORD10028","CUST1089","PROD1019","2024-12-11",2,"$115.35 ","Aimee Montoya","djoyce@harris.com","Male","2005-11-25","N/A","N/A","N/A","N/A","Piece","Clothing","$65.56","N/A","N/A",,"N/A","N/A"
"ORD10029","CUST1102","PROD1021","2025-05-17",3,"$432.85","Rebecca Valencia","brittany58@gmail.com","N/A","1988-12-08","N/A","N/A","N/A","N/A","Score","Beauty","$50.65","N/A","N/A",,"N/A","N/A"
"ORD10030","CUST1089","PROD1041","2025-02-04",5,"$202.84","Aimee Montoya","djoyce@harris.com","Male","2005-11-25","N/A","N/A","N/A","N/A","Whom","Electronics","$123.22","N/A","N/A",,"N/A","N/A"
"ORD10031","CUST1007","PROD1007","2024-11-16",3,"$93.39","Gina Moore","agarcia@mitchell.com","Male","2003-06-10","N/A","N/A","N/A","N/A","Space","Groceries","$37.35","SHP10467","Express","2025-07-16","In Transit","Shipping"
"ORD10032","CUST1009","PROD1006","2025-04-12",5,"$220.11","Ryan Munoz","rayglenda@gmail.com","Male","1955-07-02","PAY10123","Credit Card","Pending","2024-12-11","Possible","Electronics","$128.05","N/A","N/A",,"N/A","N/A"
"ORD10033","CUST1111","PROD1038","2024-12-24",5,"$62.24 ","Shannon Walker","jennifer92@yahoo.com","Female","1962-06-14","N/A","N/A","N/A","N/A","Figure","Electronics","$271.71","SHP10224","Express","2025-07-16","In Transit","Shipping"
"ORD10034","CUST1065","PROD1002","2024-12-21",4,"$5.84 ","Amber Kidd","buchananjohn@buchanan.com","Male","1998-01-02","N/A","N/A","N/A","N/A","Almost","Groceries","$265.89","N/A","N/A",,"N/A","N/A"
"ORD10035","CUST1093","PROD1027","2024-09-11",1,"$474.69","Christina Walters","umorse@patterson.com","N/A","1984-12-09","PAY10235","E-Wallet","Completed","2025-07-07","Interest","Clothing","$258.23","N/A","N/A",,"N/A","N/A"
"ORD10036","CUST1159","PROD1020","2024-11-09",1,"$361.28","Jamie Smith","meghan43@hotmail.com","N/A","1998-06-29","N/A","N/A","N/A","N/A","Remember","Books","$165.52","SHP10031","Standard","2025-07-16","In Transit","Shipping"
"ORD10037","CUST1129","PROD1019","2024-12-09",4,"$166.46","Megan Orr","parsonsjohn@gmail.com","N/A","1986-01-02","N/A","N/A","N/A","N/A","Piece","Clothing","$65.56","N/A","N/A",,"N/A","N/A"
"ORD10038","CUST1141","PROD1008","2024-09-25",2,"$213.12","David Douglas Jr.","manuel15@phillips.com","Male","1957-08-15","PAY10258","Bank Transfer","Completed","2025-05-19","Would","Clothing","$201.1","SHP10417","Pickup","2025-07-16","Pending","Waiting"
"ORD10039","CUST1173","PROD1047","2025-05-04",2,"$309.68","Matthew Harrington","amanda16@gmail.com","N/A","1962-08-12","N/A","N/A","N/A","N/A","Spring","Books","$237.17","N/A","N/A",,"N/A","N/A"
"ORD10040","CUST1103","PROD1035","2025-02-09",1,"$155.42 ","Christine Wright","dhayes@yahoo.com","Male","1968-04-18","PAY10047","E-Wallet","Pending","2025-02-27","Arrive","Groceries","$127.86","SHP10302","Pickup","2025-07-16","Delivered","Success"
"ORD10041","CUST1110","PROD1037","2025-01-15",5,"$329.08","Richard Rodriguez","riveraangela@yahoo.com","Female","1984-08-10","PAY10159","Bank Transfer","Completed","2025-03-28","Most","Electronics","$260.75","SHP10288","Standard","2025-07-16","Pending","Waiting"
"ORD10042","CUST1113","PROD1028","2024-10-17",2,"$258.03 ","Crystal Johnson","vschneider@gmail.com","Male","1968-07-08","PAY10316","E-Wallet","Completed","2025-05-31","Leg","Clothing","$38.39","SHP10492","Express","2025-07-16","Delivered","Success"
