customer_id,name,email,gender,birthdate,category
CUST1000,Allison Hill,redwards@gmail.com,Other,1976-10-13,Loyal
CUST1001,Noah Rhodes,fitzgeraldvictor@mcintyre-wilson.com,Male,1988-09-24,Loyal
CUST1002,Angie Henderson,wendymitchell@yahoo.com,Other,2002-01-10,Regular
CUST1003,Daniel Wagner,taylorcharles@roach.com,Other,1969-07-26,Loyal
CUST1004,Cristian Santos,jenna88@yahoo.com,Male,1964-12-19,New
CUST1005,Connie Lawrence,jenniferho@hotmail.com,Male,1957-12-24,VIP
CUST1006,Abigail Shaffer,william13@young.com,Other,2000-05-20,New
CUST1007,Gina Moore,tanner82@hotmail.com,Female,2004-04-29,VIP
CUST1008,Gabrielle Davis,parkeryvonne@mendoza.org,Other,1981-04-12,VIP
CUST1009,Ryan Munoz,teresaday@owens-holmes.com,Other,1984-11-12,New
CUST1010,Monica Herrera,ryanbartlett@guerra.com,Other,2005-10-09,New
CUST1011,Jamie Arnold,fernandodonovan@gmail.com,Other,1995-01-16,New
CUST1012,Lisa Hensley,meghan43@hotmail.com,Male,1993-09-09,New
CUST1013,Michele Williams,colleenmendez@gmail.com,Other,1988-11-21,Regular
CUST1014,Dylan Miller,georgeweber@morgan.com,Female,1960-09-03,Loyal
CUST1015,Brian Ramirez,frykelli@curtis-wang.biz,Male,1969-08-27,VIP
CUST1016,Holly Wood,ismall@may-turner.com,Female,1983-12-08,New
CUST1017,Derek Zuniga,shawn02@yahoo.com,Female,1974-04-06,New
CUST1018,Lisa Jackson,vmarshall@hotmail.com,Female,1981-05-17,New
CUST1019,Carla Gray,michelle55@anderson-wood.net,Female,1964-08-12,Regular
CUST1020,Margaret Hawkins DDS,john14@wright-davis.com,Male,1963-07-16,New
CUST1021,Patty Perez,kwright@yahoo.com,Male,1977-06-02,New
CUST1022,Ethan Adams,kathrynjimenez@hotmail.com,Female,1960-02-28,New
CUST1023,Tommy Walter,fkoch@gmail.com,Female,1986-12-04,Loyal
CUST1024,Matthew Foster,pwagner@aguilar.com,Male,1993-06-06,Regular
CUST1025,Judy Baker,pharper@hotmail.com,Male,2005-04-05,New
CUST1026,Justin Baker,amanda16@gmail.com,Male,1957-11-24,VIP
CUST1027,Stephanie Ross,kathryn50@yahoo.com,Other,1991-11-05,VIP
CUST1028,Zachary Hicks,michaelroberts@gordon-duran.com,Other,1981-09-15,VIP
CUST1029,Anthony Rodriguez,theresalong@grant-diaz.com,Other,1972-05-29,Regular
CUST1030,Rebecca Henderson,cporter@taylor.info,Female,1960-05-01,Regular
CUST1031,James Ferrell,catherinerobertson@yahoo.com,Other,1981-08-30,VIP
CUST1032,Tricia Valencia,phillipjensen@yahoo.com,Female,1988-09-09,New
CUST1033,Nathan Maldonado,terickson@yahoo.com,Female,1984-02-10,Regular
CUST1034,Debra Davidson,mark16@parker.com,Other,2007-03-15,VIP
CUST1035,Jeffrey Chavez,tammy99@gmail.com,Female,2002-01-12,VIP
CUST1036,Sherri Baker,ojackson@harvey.com,Other,1963-06-01,New
CUST1037,Cassandra Gaines,leescott@hernandez-vaughn.biz,Other,2006-05-26,Loyal
CUST1038,Elizabeth Fowler,thorntonapril@hotmail.com,Male,1963-09-21,Regular
CUST1039,Brittany Farmer,ufox@gmail.com,Other,1987-04-09,New
CUST1040,Paula Moreno,amy49@yahoo.com,Male,1992-08-08,VIP
CUST1041,Fred Smith,joshuaevans@wise-bush.info,Other,1968-01-10,VIP
CUST1042,Sherry Decker,ybailey@hotmail.com,Other,1987-09-28,New
CUST1043,Anthony Humphrey,david86@yahoo.com,Male,1981-06-11,Regular
CUST1044,Angelica Tucker,kellyroberts@hotmail.com,Male,1998-12-05,Loyal
CUST1045,Philip Cannon,sandra47@harris.com,Other,1993-06-03,Loyal
CUST1046,John Pierce,danielyang@gmail.com,Female,1967-11-21,VIP
CUST1047,Shane Henderson,santiagoamanda@hall.info,Male,1992-09-23,Regular
CUST1048,Joshua Blair,adampierce@russell.info,Female,1996-06-17,Loyal
CUST1049,Eric Carney,manuel01@andrews.com,Female,2004-08-09,Regular
