"order_id","quantity","order_date","flag_quantity","year_of_order","month_of_order","customer_id","name","email","gender","birthdate","type_customer","product_id","product_name","category","price","cost","new column","profit_margin","cost_ratio","price_range","payment_method","payment_status","payment_date","payment_group","pay_year","shipping_id","shipping_method","shipping_status","shipping_date","shipping_type_group"
"ORD10000",4,"2025-04-22","Valid",2025,4,"CUST1272","Jonathan Lawrence","dyork@yahoo.com","Male","1972-09-13","Regular","PROD1022","Home","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2025-04-25","Bank",2025,"SHP9000","Same Day","Delivered","2025-04-25","Fast"
"ORD10001",5,"2023-01-29","Valid",2023,1,"CUST1230","Jessica Stephens","david09@yahoo.com","Other","1963-12-10","New","PROD1002","Feel","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2023-02-01","Card",2023,"SHP9001","Same Day","Delivered","2023-01-30","Fast"
"ORD10002",4,"2024-12-06","Valid",2024,12,"CUST1085","Daniel Baker","vclark@krueger-smith.com","Female","2001-03-07","New","PROD1003","Popular","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-12-08","Digital",2024,"SHP9002","Same Day","Delivered","2024-12-08","Fast"
"ORD10003",1,"2023-01-16","Valid",2023,1,"CUST1473","Evelyn Williams","jennifer40@yahoo.com","Male","1954-12-28","New","PROD1024","Hundred","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2023-01-19","Bank",2023,"SHP9003","Standard","Delivered","2023-01-21","Normal"
"ORD10004",1,"2024-02-27","Valid",2024,2,"CUST1125","Erin Edwards","yramirez@yahoo.com","Male","1980-03-03","Loyal","PROD1046","Population","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-02-28","Card",2024,"SHP9004","Same Day","Failed","2024-02-29","Fast"
"ORD10005",5,"2024-08-11","Valid",2024,8,"CUST1299","Amber Obrien","heathermccoy@fisher-garcia.net","Female","1967-09-11","VIP","PROD1037","Trade","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2024-08-14","Digital",2024,"SHP9005","Standard","Delivered","2024-08-17","Normal"
"ORD10006",4,"2025-03-15","Valid",2025,3,"CUST1024","Matthew Foster","pwagner@aguilar.com","Male","1993-06-06","Regular","PROD1014","Particular","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2025-03-15","Card",2025,"SHP9006","Express","Delivered","2025-03-16","Fast"
"ORD10007",4,"2024-08-15","Valid",2024,8,"CUST1144","Amber Wright","michael79@cervantes.com","Male","1999-06-25","New","PROD1020","Firm","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Pending","2024-08-15","Digital",2024,"SHP9007","Express","Delivered","2024-08-16","Fast"
"ORD10008",2,"2024-02-09","Valid",2024,2,"CUST1012","Lisa Hensley","meghan43@hotmail.com","Male","1993-09-09","New","PROD1034","Center","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-02-10","Card",2024,"SHP9008","Express","Delivered","2024-02-10","Fast"
"ORD10009",3,"2024-09-27","Valid",2024,9,"CUST1211","Denise Mccann","samantha10@gonzalez.info","Male","1970-01-07","Regular","PROD1045","Determine","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-09-30","Card",2024,"SHP9009","Same Day","In Transit","2024-10-03","Fast"
"ORD10010",5,"2024-06-14","Valid",2024,6,"CUST1024","Matthew Foster","pwagner@aguilar.com","Male","1993-06-06","Regular","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-06-14","Card",2024,"SHP9010","Express","Failed","2024-06-18","Fast"
"ORD10011",3,"2024-09-05","Valid",2024,9,"CUST1067","Carol Tucker","mitchellhector@gmail.com","Female","1967-07-04","VIP","PROD1035","Campaign","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2024-09-09","Digital",2024,"SHP9011","Same Day","Delivered","2024-09-10","Fast"
