"order_id","order_date","quantity","customer_id","name","email","phone","address","birthdate","product_id","name (Right)","category","price","stock"
1,"2024-08-25",7,881,"Erica Aguilar","Erica@default.com",123456789,"93525 Adkins Wall Apt. 365, Loganburgh, MS 00679","1964-02-05",199,"Benefit","Clothing",128.35,129
2,"2023-09-19",8,465,"Denise James","Denise@default.com",123456789,"07373 Natasha Mission Apt. 195, North Jerry, OR 77842","1977-01-06",19,"Foot","Electronics",41.26,406
3,"2023-08-14",8,73,"Jennifer Warren","Jennifer@default.com",123456789,"537 Mata Track Suite 690, South Jessicaville, NE 37327","1989-05-04",299,"Just","Clothing",88.06,289
4,"2023-09-21",7,704,"Thomas Rivera","Thomas@default.com",123456789,"PSC 4724, Box 0437, APO AP 33061","2007-06-03",293,"Opportunity","Beauty",67.48,481
5,"2024-05-26",7,240,"Joseph Fowler","Joseph@default.com",123456789,"918 Wilson Square, Vickieton, ND 52084","2006-01-31",98,"Side","Clothing",430,624
6,"2024-05-20",6,947,"Kevin Taylor","Kevin@default.com",123456789,"6529 Kyle Rue, North Julie, ND 92276","1958-10-27",176,"Body","Books",116.2,196
7,"2023-09-17",8,271,"Andrew Thornton","Andrew@default.com",123456789,"1496 Johnson Overpass Apt. 625, Dominiqueberg, WA 42077","1962-03-14",114,"Itself","Electronics",270.43,901
8,"2025-04-20",6,807,"Andrew Cooper","Andrew@default.com",123456789,"53036 Smith Circles Apt. 523, Pruittchester, MO 14067","1998-02-09",274,"Sort","Books",166.79,970
9,"2023-12-11",5,811,"Jennifer Franklin","Jennifer@default.com",123456789,"710 Cynthia Port Apt. 967, Garyfurt, NV 45461","2004-12-25",244,"Opportunity","Home",7.92,311
10,"2024-01-27",7,641,"Ryan Warner","Ryan@default.com",123456789,"292 Garcia Neck Suite 120, East Anthonychester, KY 49874","2005-07-21",184,"Remember","Home",316.73,778
11,"2024-05-01",1,604,"Duane Torres","Duane@default.com",123456789,"819 Katrina Forges, Port Bethmouth, KS 08914","1955-01-27",260,"Spend","Home",86.7,930
12,"2023-09-30",3,678,"Terri Anthony","Terri@default.com",123456789,"2477 Jones Course, Fischerville, OH 74167","1954-09-18",154,"Read","Electronics",309.68,435
13,"2024-10-14",8,824,"Kevin Curry","Kevin@default.com",123456789,"653 Holland Viaduct Suite 339, Adamsmouth, IA 26967","1960-10-19",88,"Money","Home",369.6,850
14,"2025-05-04",4,957,"Caitlin Maxwell","Caitlin@default.com",123456789,"259 Gary Grove, East Jill, IA 74551","1958-10-15",286,"Recently","Beauty",391.71,76
15,"2023-10-26",5,203,"Jennifer Smith","Jennifer@default.com",123456789,"9651 Susan Rue, Port Saraborough, OK 90451","1997-09-01",93,"Happy","Books",406.32,461
16,"2025-01-25",2,436,"Karen Wood","Karen@default.com",123456789,"34149 Krista Manor, New Jesse, AL 74335","2003-09-25",151,"Training","Clothing",470.48,566
17,"2024-12-16",6,118,"Zoe Frederick","Zoe@default.com",123456789,"27938 Stacey Springs, South Sandraview, IL 45819","1990-12-07",50,"Prevent","Beauty",50.69,349
18,"2025-06-06",2,558,"Jessica Lynch","Jessica@default.com",123456789,"6369 Michael Ridges Apt. 075, Middletonburgh, LA 75581","1993-09-26",242,"Toward","Clothing",383.97,576
19,"2024-12-11",5,231,"Randy Terry","Randy@default.com",123456789,"69991 Mendez Haven Suite 840, Port Robertport, NC 36940","1956-07-23",66,"Democrat","Books",293.34,445
20,"2023-10-13",9,664,"Justin Santos","Justin@default.com",123456789,"2365 Todd Extensions Suite 150, South Darrenborough, MN 30924","1962-09-10",133,"Should","Books",271.53,487
21,"2024-02-12",9,153,"Troy Conner","Troy@default.com",123456789,"9237 Simmons Ramp, Davidfort, CT 06815","1969-07-12",287,"Level","Clothing",327.62,160
22,"2024-07-15",9,931,"Sara Meza","Sara@default.com",123456789,"49221 Andrea Ranch, North Maureen, OR 85925","1981-06-16",94,"Walk","Clothing",137.07,249
23,"2023-11-12",2,273,"Tracy Huff","Tracy@default.com",123456789,"3054 Alisha Burgs, Chavezborough, IL 01040","1987-12-07",172,"This","Clothing",170.92,973
24,"2024-05-28",5,847,"Spencer Sanders","Spencer@default.com",123456789,"200 Benton Landing, Alyssaport, AZ 64950","1976-04-17",46,"Couple","Beauty",135.67,379
25,"2023-09-03",4,146,"Robert Chandler","Robert@default.com",123456789,"63027 Audrey Ports Apt. 220, Yatesfurt, CO 98070","1990-07-04",114,"Itself","Electronics",270.43,901
26,"2025-02-18",2,74,"Audrey Freeman","Audrey@default.com",123456789,"24111 Thompson Walk, New Georgeburgh, SD 73197","1994-11-23",182,"Republican","Clothing",41.05,603
27,"2024-02-27",2,62,"Mary Moody","Mary@default.com",123456789,"1533 Jane Bypass Suite 603, New Larryland, NE 15457","1999-09-08",115,"We","Electronics",469.92,610
28,"2024-03-26",2,170,"Craig Warren","Craig@default.com",123456789,"307 Michael Extensions, South William, AR 87763","1992-09-14",158,"Suggest","Electronics",147.02,360
29,"2025-05-01",6,812,"Linda Montgomery","Linda@default.com",123456789,"PSC 5621, Box 5713, APO AA 58551","2003-01-30",216,"Among","Beauty",133.3,587
30,"2025-06-09",1,315,"Eddie Gray","Eddie@default.com",123456789,"087 Morris Circle Suite 129, Jeffreymouth, NY 35184","1960-05-14",170,"Create","Beauty",260.15,760
31,"2025-01-06",9,610,"Leslie Thomas","Leslie@default.com",123456789,"875 Jay Pines Suite 035, North Michael, ME 85293","1954-12-11",191,"Source","Clothing",376.73,303
32,"2024-03-02",4,767,"Kimberly Ryan","Kimberly@default.com",123456789,"533 Valerie Mission Suite 541, Ginashire, TN 49766","2002-07-19",134,"Choose","Electronics",361.12,661
33,"2025-04-28",6,845,"Brianna Doyle","Brianna@default.com",123456789,"6071 Michelle Trail Suite 105, West Jenniferbury, HI 46233","1972-03-28",300,"Against","Beauty",305.59,719
34,"2023-09-25",4,583,"Blake Harris","Blake@default.com",123456789,"8100 Alvarez Shoals, Scottchester, TN 09800","1984-02-08",151,"Training","Clothing",470.48,566
35,"2024-04-26",6,944,"Courtney Clark","Courtney@default.com",123456789,"2759 Samantha Meadows, Ericburgh, VT 37184","1956-09-11",238,"Form","Beauty",452.9,54
36,"2023-10-15",5,296,"Dale Higgins","Dale@default.com",123456789,"4041 Jessica Spring, Johnburgh, MI 05447","1960-05-13",61,"Sit","Clothing",42.25,912
37,"2024-07-03",5,450,"Joshua Banks","Joshua@default.com",123456789,"3390 Landry Club, Port Adamfurt, VT 59655","1967-03-12",241,"Finally","Home",429.08,830
38,"2025-03-26",5,128,"Austin Pierce","Austin@default.com",123456789,"06738 Johns Union, West Rebecca, DC 52010","1995-05-28",28,"Cup","Electronics",353.25,248
39,"2024-12-16",4,480,"Monica King","Monica@default.com",123456789,"716 Mclean Turnpike Apt. 775, Lake Emily, IL 82994","1979-12-26",299,"Just","Clothing",88.06,289
40,"2024-08-02",10,706,"Catherine Raymond","Catherine@default.com",123456789,"6809 Christopher Station Apt. 817, Mcdowellton, IN 47582","1976-09-20",298,"Human","Beauty",384.61,723
41,"2024-01-29",3,312,"Joel Hayes","Joel@default.com",123456789,"175 Dean Knoll Suite 867, East Ambertown, CT 15753","2006-10-12",37,"Safe","Electronics",71.47,123
42,"2024-02-02",9,717,"Linda Griffin","Linda@default.com",123456789,"41356 Dunn Ways Apt. 983, Bowmanfurt, ME 44159","1966-09-03",242,"Toward","Clothing",383.97,576
43,"2024-10-02",5,413,"Jeffery Day","Jeffery@default.com",123456789,"612 Johnson Ports Apt. 686, Port Rhonda, SC 58476","1978-07-04",100,"Defense","Clothing",409.21,388
44,"2024-10-27",1,966,"Samantha Weiss MD","Samantha@default.com",123456789,"41671 Jordan Keys Apt. 259, West Clifford, DC 31706","2003-06-21",257,"Here","Home",171.38,535
45,"2024-01-17",5,279,"Sharon Larson","Sharon@default.com",123456789,"7251 Robinson Valley, Novakborough, AR 49328","1997-04-05",62,"Standard","Electronics",442.14,848
46,"2023-08-07",5,513,"Elijah Paul","Elijah@default.com",829528221,"37259 Moody Ways, Port Karenshire, DC 59977","1958-09-10",196,"Little","Beauty",479.19,14
47,"2025-06-28",6,553,"Timothy Price","Timothy@default.com",123456789,"9004 Sandra Glen, Fisherland, AK 60838","1966-07-22",272,"Me","Clothing",192.66,757
48,"2025-02-25",7,506,"Matthew Walton","Matthew@default.com",123456789,"11116 Melanie Ramp, North Karenstad, KY 51862","1979-01-06",153,"Actually","Beauty",451.89,352
49,"2024-02-06",7,449,"Mark Cooper","Mark@default.com",123456789,"1797 Christina Road, Ravenview, DC 83904","1974-10-09",212,"Play","Clothing",276.2,502
50,"2024-03-15",10,83,"Becky Morales","Becky@default.com",123456789,"PSC 3746, Box 9055, APO AP 93907","2006-05-08",28,"Cup","Electronics",353.25,248
51,"2023-07-24",1,613,"Brandy Hill","Brandy@default.com",123456789,"227 Jeff Rest Apt. 002, Lake Matthew, RI 88136","1969-01-14",78,"Radio","Home",442.65,495
52,"2023-11-17",8,41,"Tanner Wolfe","Tanner@default.com",123456789,"59770 Lambert Ports, Johnsonburgh, OR 69516","1978-04-27",71,"Letter","Books",399.08,666
53,"2024-05-04",9,911,"Christine Rogers","Christine@default.com",123456789,"6177 Jenkins Streets, Potterberg, CA 64453","1970-08-24",103,"Lay","Beauty",398.7,506
54,"2024-09-19",3,443,"Brittany Robinson","Brittany@default.com",123456789,"157 Frye Roads, New Jenniferville, SD 54833","1956-08-29",176,"Body","Books",116.2,196
55,"2023-11-18",7,753,"Rebecca Joseph","Rebecca@default.com",123456789,"53543 Brittany Camp, Taylorfort, VT 29968","1995-05-26",210,"Radio","Books",254.87,889
56,"2025-04-07",4,331,"Victoria Scott","Victoria@default.com",123456789,"62470 Smith Isle, Stevenfort, LA 01287","1958-03-09",292,"With","Electronics",80.43,608
57,"2023-09-17",4,619,"April Henderson","April@default.com",123456789,"928 Joseph Turnpike, New Jonathan, CO 58206","1984-06-26",235,"Capital","Clothing",210.81,590
58,"2024-10-18",4,257,"Michael Davis","Michael@default.com",113183536,"496 Smith Prairie, Lake Christinaton, OR 12647","1987-05-06",74,"Increase","Clothing",108.99,827
59,"2023-11-29",8,27,"Kelsey Crawford","Kelsey@default.com",123456789,"352 Roy Burg, Kaylaberg, HI 75239","1976-07-30",162,"Change","Clothing",235.17,313
60,"2025-04-24",4,94,"Ashley Clarke","Ashley@default.com",123456789,"068 Ashley Road Suite 816, Brownfort, CO 06733","1991-10-07",93,"Happy","Books",406.32,461
61,"2023-08-03",9,235,"James Abbott","James@default.com",123456789,"1636 Teresa Viaduct Suite 708, Andersonfurt, ME 43766","2003-06-05",42,"Probably","Beauty",304.39,355
62,"2024-12-23",10,985,"Jesse Williamson","Jesse@default.com",123456789,"93724 Paul Street Suite 205, Christophermouth, MS 20814","1995-04-16",250,"Skin","Electronics",375.02,426
63,"2023-09-30",9,691,"Joshua Richard","Joshua@default.com",123456789,"5316 Joseph Roads Suite 592, Michaelchester, NM 12696","1964-07-03",171,"Really","Clothing",318.31,548
64,"2024-08-22",8,857,"Elizabeth Richardson","Elizabeth@default.com",123456789,"098 Kimberly Extension Suite 888, North Alexandrashire, IA 75820","1970-11-04",91,"Week","Clothing",402.11,285
65,"2023-12-31",8,882,"Samuel Cruz","Samuel@default.com",123456789,"7556 Brian Union, North Melanietown, NE 35718","1987-09-04",161,"These","Books",329.08,277
66,"2024-12-22",6,590,"Julie Velazquez","Julie@default.com",123456789,"12662 Mahoney Mountains, Christinaport, NE 71741","1990-02-16",30,"Own","Home",493.68,713
67,"2023-11-25",2,602,"Angel Flores","Angel@default.com",123456789,"2783 Natasha Extension, North Annetteville, DC 51609","1982-10-16",3,"Suffer","Books",212.52,117
68,"2025-07-10",6,974,"Carmen Williams","Carmen@default.com",123456789,"0249 Murphy Views, Ruizville, OH 29533","1989-08-21",232,"Her","Home",36.79,410
69,"2024-08-12",4,22,"Jessica Steele","Jessica@default.com",123456789,"76338 Karen Hollow, Michaelhaven, GA 35562","1980-12-30",141,"Economic","Beauty",160.39,301
70,"2025-01-02",7,784,"Jose Wilkins","Jose@default.com",123456789,"133 Erickson Harbor, Archerburgh, AR 26164","2004-02-01",108,"Skill","Home",432.85,217
71,"2023-10-12",7,689,"Justin Miller","Justin@default.com",123456789,"26340 Whitney Ports Apt. 329, Port Carrietown, NM 23507","1989-09-27",87,"Impact","Books",17.27,251
72,"2023-11-22",4,842,"Gary Baldwin","Gary@default.com",123456789,"32057 Aaron Fall, Michaelfort, DC 93759","1981-07-14",296,"Third","Home",112.89,237
73,"2024-12-06",8,276,"Jessica Fields","Jessica@default.com",123456789,"Unit 8652 Box 8531, DPO AP 12345","1981-11-12",82,"Question","Clothing",465.29,748
74,"2025-02-12",8,591,"Daniel Gaines","Daniel@default.com",123456789,"1000 Noah Forest, East Nicoleburgh, MI 92418","1990-11-30",251,"Tonight","Beauty",275.34,620
