customer_id,name,email,phone,address,birthdate
1,Justin Vazquez,wrice@burnett.com,(777)149-9208,"419 Hamilton Junction, North Adam, DE 87951",1961-05-04
2,Tracy Wagner,invalid-email,12345,"605 Monica Flats Suite 925, South Joshua, WA 28783",1998-08-25
3,Stacey Gomez,lcardenas@barker.biz,252.777.2058x2210,"714 Collins Brooks Suite 328, Lake Wendyberg, ID 16938",2007-02-24
4,Lisa Hernandez,matthewharris@ewing-reese.com,001-725-123-5726,"75766 Gonzales Mission Apt. 139, East Charlesside, NV 65561",1956-05-28
5,Gabriella Wallace,zhopkins@williams.com,(382)005-2032,"30605 Robertson Squares, Smithside, VA 49786",2004-08-08
6,Lisa Hester,grossphillip@hotmail.com,+1-509-160-8603x960,"682 Roman Park, Hernandezmouth, OH 59688",1992-12-19
7,Mr. Robert Torres,thompsonwendy@smith-mooney.com,(042)769-7562,"20421 Murphy Bypass, New Bobby, MN 16365",1973-07-21
8,Kenneth Edwards,ericharris@gmail.com,7455310020,"743 Carney Row Apt. 676, Allisonchester, VA 80056",1992-04-23
9,Paul Hicks,alex82@mitchell-suarez.org,156.220.2851x758,"3413 Evan Route, Port Tiffany, CT 94887",1995-12-02
10,Marvin Hinton,christopherwise@gmail.com,0658397614,"386 Norris Row, East Madison, RI 37105",1966-11-11
11,Donald Rodriguez,jennifer29@yu.info,189-896-9050x033,"676 Powers Port Apt. 022, Nancyfurt, NV 72275",1994-03-12
12,Andrew Reyes,katrina32@yahoo.com,7805815931,"401 Mitchell Points Suite 246, Anthonychester, OH 78746",1977-11-28
13,Amy Clayton,robertsbrittany@gmail.com,001-899-284-6863x104,"7289 Bond Manors Apt. 951, New Davidland, OR 59011",1984-12-14
14,Sean Perry,invalid-email,12345,"676 Clark Run, West Melissaburgh, MS 56089",1970-09-11
15,Gregory Jones,garciajoshua@hotmail.com,620.565.5733x1641,"9623 Angela Curve Suite 785, North Keith, NH 05848",2007-06-30
16,Benjamin Smith,ramosmichael@hamilton-brown.com,001-461-485-6844x194,"496 Samuel Manors Suite 727, North Frederick, IN 95977",1981-11-12
17,Brandon Dunn,joeherrera@hotmail.com,064-914-3329,"9938 Mills Lakes, West Ryan, CO 27848",1959-01-05
18,Amy Mendoza,dkelley@gmail.com,001-069-536-2283x80607,"9227 Lee Fall Apt. 516, Ashleystad, NV 89024",1968-03-14
19,Barbara Davis,suzanne19@yahoo.com,+1-729-821-2120x688,"38292 Morales Freeway, Samuelview, CT 58880",2003-02-06
20,Leslie Miranda,amandarussell@gmail.com,001-346-386-2121x84580,"USNS Williams, FPO AA 86748",1996-05-25
21,Alyssa Banks,invalid-email,12345,"965 Shepherd Port, New Erin, HI 71569",1987-06-03
22,Jessica Steele,invalid-email,12345,"76338 Karen Hollow, Michaelhaven, GA 35562",1980-12-30
23,Melissa Jones,jill17@gmail.com,(168)907-3211x1854,"57062 Kathleen Roads, South Drew, RI 62386",1955-11-01
24,Elizabeth Campbell,henryerika@bentley.com,(763)921-9646x281,"1513 Mann Shore Apt. 984, West Erin, IA 00544",1996-06-11
25,Tonya Miller,jenniferalvarez@king.info,677.529.6319,"6547 Wilson Canyon, Hollyville, IN 67179",1968-05-16
26,Eric Valdez,ellisonangel@hotmail.com,552.868.9066x68850,"679 Jonathan Well Suite 325, New David, TN 25780",1970-05-28
27,Kelsey Crawford,jblake@yahoo.com,(585)733-7095,"352 Roy Burg, Kaylaberg, HI 75239",1976-07-30
28,Matthew Davis,stacey93@hays.biz,773.616.3205,"659 Ryan Vista, Watkinsberg, MO 76081",1962-11-26
29,Casey Padilla,theresabarker@richardson-parks.com,+1-910-344-7609x91920,"0130 Smith Center, New Brandon, MO 07370",1967-08-11
30,Joseph Day,hmiller@davis.com,001-231-692-8262x090,"1341 Richmond Branch, South Darryl, CT 42007",1980-12-04
31,Dr. Travis Collins DDS,qwilliams@floyd.com,4411652241,"490 Velazquez Falls Suite 254, Jasonside, NY 89189",1987-06-13
32,Eric Harvey,alexis88@gmail.com,622.784.2198,"17083 Ashley Via Apt. 295, Juliahaven, SD 82562",1964-07-24
33,Heather Blackburn,eugenejohnson@yahoo.com,520.992.0385,"402 Larry Rapid Suite 701, Smithburgh, KY 32802",2004-04-04
34,Jennifer Morgan,lunajoseph@price-roberts.com,001-243-668-7352,"06485 Smith Dale Suite 384, South Timothychester, NC 45780",1967-09-12
35,Lisa Williams,invalid-email,12345,"51271 Michael Cape Suite 975, East Sarah, KS 19099",1979-10-22
36,Corey Mitchell,osolis@werner-cook.biz,001-582-198-4898x5103,"270 Cruz Curve, Patriciaview, WV 13081",1958-09-29
37,James Williams,kelly42@osborne.biz,655.055.8301,"8223 Cody Squares, North Heather, UT 93958",1973-11-28
38,Daniel Cole,hconner@gmail.com,9525015152,"860 Danny Turnpike Suite 938, North Margaretland, MA 92126",1958-09-09
39,Elizabeth Brown,john01@lewis.com,001-305-966-3974x2372,"989 Gonzales Hills Suite 776, Hannahview, ND 55441",1965-03-30
40,Sylvia Oliver,terryelizabeth@gmail.com,+1-771-739-2243x8004,"828 Scott Points Suite 299, Port Anthonytown, NM 18923",1987-11-19
41,Tanner Wolfe,jalvarado@yahoo.com,256-859-8849,"59770 Lambert Ports, Johnsonburgh, OR 69516",1978-04-27
42,Christy White,mark08@hotmail.com,432.132.7870x1185,"43126 Jones Park Apt. 077, South Kelly, OR 09407",2005-10-24
43,Patricia Sims,nicole40@gmail.com,(759)722-3613,"639 Combs View, West Tracyport, AL 34724",1997-01-24
44,Karen Kelly,hughestammie@boyle.com,511.279.4460,"PSC 0941, Box 6859, APO AP 63535",1961-11-02
45,Julie Perez,gomezjeffery@glenn-johnson.com,417-026-5367x3715,"83980 Cassandra Overpass, South Scottburgh, GA 49697",1968-02-20
46,Victoria Cervantes,pstewart@stokes.com,1201170821,"890 Short Prairie Suite 778, Georgeton, NH 37809",1995-12-24
47,Joseph May,stewartlisa@yahoo.com,(844)942-4842x5868,"26773 Benjamin Center, New Danielbury, IA 92081",2005-01-25
48,Wayne Osborne,sara49@arroyo.biz,780-063-2967x042,"PSC 0547, Box 6097, APO AE 51438",1966-03-19
49,Ana Jenkins,manuel01@richard-cooper.com,905.455.5672x4105,"43898 Bradley Squares Suite 192, North Brittanyhaven, GA 69476",1979-03-01
